date,Felixstowe,London,Southampton,Grimsby and Immingham,Liverpool,Total_Container_Imports
2009-01-01,3019.229,9545.489,5579.865,10703.559,5714.167,34562.309
2009-04-01,3548.819,9847.514,6187.52,9977.109,5712.863,35273.825
2009-07-01,3825.709,9828.512,5661.705,10175.719,5377.342,34868.986999999994
2009-10-01,3732.211,9346.535,5919.733,9924.459,5645.139,34568.077000000005
2010-01-01,3628.48,9208.59,6093.754,10559.274,4087.725,33577.823
2010-04-01,4155.234,9971.431,5734.38,9409.561,5520.397,34791.003
2010-07-01,4125.766,10562.136,6286.1,10319.752,5401.277,36695.031
2010-10-01,3801.785,10055.141,6033.695,10186.973,6706.931,36784.524999999994
2011-01-01,4150.718,9923.324,5837.287,10712.191,5756.489,36380.009000000005
2011-04-01,4416.188,10227.114,5565.989,10269.287,6155.907,36634.485
2011-07-01,4422.281,10698.858,6116.046,11591.497,6505.244,39333.926
2011-10-01,3929.534,9958.812,5864.03,10775.572,6387.684,36915.632
2012-01-01,3799.666,9259.746,5896.879,10310.523,6405.599,35672.413
2012-04-01,4019.463,9427.481,5758.328,11254.979,6652.914,37113.165
2012-07-01,3923.878,8892.815,7290.419,11915.879,6068.201,38091.192
2012-10-01,3715.144,8766.798,4025.309,11999.992,6256.764,34764.007000000005
2013-01-01,3836.377,8740.672,5064.113,11294.701,6377.883,35313.746
2013-04-01,4018.556,9543.474,5574.335,12087.641,6298.29,37522.296
2013-07-01,4175.899,9169.591,5713.595,11829.731,5798.859,36687.675
2013-10-01,3923.713,8952.169,5866.399,11180.237,5231.843,35154.361
2014-01-01,4025.817,8513.408,5580.232,11998.362,5505.218,35623.037
2014-04-01,4428.275,9532.86,5793.831,10546.808,6122.932,36424.706
2014-07-01,4512.061,9910.421,6035.435,9838.641,5646.84,35943.398
2014-10-01,4239.323,9533.481,5533.059,11253.844,6102.97,36662.677
2015-01-01,4223.612,9381.86,5709.038,11305.951,6146.146,36766.607
2015-04-01,4323.256,9326.041,5652.851,10362.305,5933.755,35598.208
2015-07-01,4494.673,10000.356,5933.516,10864.001,6003.018,37295.564
2015-10-01,4193.191,9606.376,5681.341,11051.467,5652.145,36184.520000000004
2016-01-01,3957.796,9515.265,4931.837,9506.895,5974.594,33886.387
2016-04-01,4575.819,10719.744,5539.469,9705.091,5825.718,36365.841
2016-07-01,4331.503,12325.882,5783.645,9598.702,6165.52,38205.25199999999
2016-10-01,4125.699,10591.888,5370.054,10064.953,5826.739,35979.333
2017-01-01,4371.05,9569.327,5465.551,9766.392,6292.165,35464.485
2017-04-01,4591.578,11331.935,5668.646,8856.308,6183.724,36632.191
2017-07-01,4559.144,10960.32,5252.788,9534.971,6233.514,36540.737
2017-10-01,4432.655,10394.425,5113.357,9441.671,5347.609,34729.717000000004
2018-01-01,4269.552,10094.558,5577.188,9976.582,4866.312,34784.192
2018-04-01,4179.72,11813.274,5327.761,10409.91,5944.357,37675.022
2018-07-01,4056.228,11306.939,5713.039,10192.383,6607.302,37875.891
2018-10-01,4234.88,11555.865,5518.751,11087.004,6705.485,39101.985
2019-01-01,4132.28,10643.433,5202.713,11015.201,6586.736,37580.363
2019-04-01,4309.588,11262.028,5582.994,8773.808,6484.243,36412.661
2019-07-01,4151.236,11113.628,5069.955,9232.271,6277.793,35844.883
2019-10-01,3830.949,11433.231,5374.656,8887.941,6670.701,36197.478
2020-01-01,3814.541,10337.844,5333.065,7819.101,6167.158,33471.708999999995
2020-04-01,3621.338,7641.999,3612.18,8169.841,5164.593,28209.951
2020-07-01,4195.929,10094.063,4239.64,7977.801,5620.722,32128.155
2020-10-01,4154.7,10318.895,4268.68,8065.889,6160.648,32968.812
2021-01-01,3430.364,9448.031,4679.578,8176.509,6080.557,31815.039000000004
2021-04-01,3704.269,11272.991,4595.645,8925.306,6684.989,35183.2
2021-07-01,4026.737,11402.6,4582.179,9045.808,6419.364,35476.688
2021-10-01,3631.572,10916.132,4468.566,9722.345,6630.121,35368.736
2022-01-01,3888.49,11042.975,4991.124,8694.724,6622.516,35239.829
2022-04-01,3884.335,11922.85,6124.092,8910.139,6716.478,37557.894
2022-07-01,3798.397,11615.81,5183.6,9164.101,6263.342,36025.25
2022-10-01,3422.693,10801.632,5418.63,8543.461,5737.018,33923.434
2023-01-01,3521.673,10375.597,5508.686,7834.046,5498.302,32738.304
2023-04-01,4228.329,11387.253,5576.774,8303.18,5696.976,35192.512
2023-07-01,4171.042,10961.074,5448.821,7918.665,5291.809,33791.411
2023-10-01,3468.33,10278.796,5027.534,7651.746,4981.202,31407.608
2024-01-01,4104.4,9879.505,5259.166,7402.993,5597.251,32243.315
2024-04-01,4246.343,11060.704,5630.985,8026.543,5932.371,34896.945999999996
2024-07-01,4429.379,11300.467,5575.314,7021.853,6133.12,34460.133
2024-10-01,4276.144,11001.282,6209.176,7993.242,5875.543,35355.386999999995
2025-01-01,4595.012,10996.953,5568.93023,8084.257,4993.484,34238.636230000004
2025-04-01,4393.198,11421.358,6197.679,8327.544,6012.188,36351.967000000004
2025-07-01,4238.773,11867.093,6006.871,7666.601,6658.013,36437.351
2025-10-01,4107.385,11100.503,5992.405,7154.234,6011.626,34366.153000000006
2026-01-01,3986.652,10612.009,5546.14642,7507.98577,6129.196977,33781.990166999996
