date,GRG.L,NXT.L,JD.L,DOM.L,JDW.L,BME.L,MKS.L
2021-09-01,71,84,56,76,87,78,64
2021-10-01,79,87,54,85,89,79,70
2021-11-01,80,100,83,81,78,89,85
2021-12-01,78,94,100,100,75,92,100
2022-01-01,70,64,44,76,64,65,55
2022-02-01,83,74,38,80,76,64,49
2022-03-01,70,75,39,69,72,72,55
2022-04-01,72,75,43,76,83,80,56
2022-05-01,69,82,48,65,73,79,53
2022-06-01,72,78,51,71,80,82,54
2022-07-01,74,79,52,77,80,88,54
2022-08-01,94,79,52,72,85,80,52
2022-09-01,89,81,46,78,92,81,54
2022-10-01,84,74,47,74,77,84,57
2022-11-01,89,83,68,74,70,91,69
2022-12-01,94,91,86,89,74,98,94
2023-01-01,79,56,39,66,72,67,50
2023-02-01,82,62,38,68,70,63,44
2023-03-01,79,68,38,64,70,61,50
2023-04-01,78,73,44,68,74,81,49
2023-05-01,77,76,44,57,67,80,51
2023-06-01,79,69,47,54,71,79,48
2023-07-01,83,61,45,55,70,66,48
2023-08-01,80,58,45,51,79,72,49
2023-09-01,80,63,41,57,70,70,50
2023-10-01,85,64,40,57,61,71,51
2023-11-01,96,84,59,56,63,88,66
2023-12-01,98,73,67,63,77,92,85
2024-01-01,82,52,33,49,64,60,44
2024-02-01,87,47,29,65,62,59,42
2024-03-01,96,56,32,57,70,71,46
2024-04-01,83,56,33,54,65,72,42
2024-05-01,83,64,37,50,65,77,45
2024-06-01,81,58,44,51,72,69,43
2024-07-01,86,53,41,50,88,68,40
2024-08-01,91,55,38,50,75,72,47
2024-09-01,88,62,32,51,76,72,47
2024-10-01,91,59,29,48,64,70,45
2024-11-01,98,67,42,45,64,81,53
2024-12-01,93,67,54,55,66,95,68
2025-01-01,86,41,26,39,57,54,38
2025-02-01,84,46,23,44,62,56,37
2025-03-01,87,55,25,43,68,62,38
2025-04-01,84,59,27,42,65,76,44
2025-05-01,90,58,27,39,63,71,35
2025-06-01,79,55,29,38,62,64,35
2025-07-01,88,55,30,41,70,68,39
2025-08-01,95,57,30,41,75,74,41
2025-09-01,99,58,27,40,63,70,43
2025-10-01,97,61,25,41,67,74,43
2025-11-01,95,73,41,43,65,81,51
2025-12-01,100,76,47,52,74,100,64
2026-01-01,83,52,22,39,62,62,37
2026-02-01,78,53,20,38,61,55,35
2026-03-01,89,66,26,39,64,67,42
2026-04-01,90,69,26,37,67,76,40
2026-05-01,89,77,31,41,67,84,43
2026-06-01,87,73,32,35,64,71,40
2026-07-01,82,75,29,38,66,72,38
