Price,Close,High,Low,Open,Volume
Ticker,BME.L,BME.L,BME.L,BME.L,BME.L
2023-07-20,563.1784057617188,567.7684249058898,560.4243699139969,561.1827346724186,6125070
2023-07-21,562.1806030273438,568.1656068439476,560.5840295208945,563.1784386302301,1805167
2023-07-24,555.79443359375,561.5818679388914,554.8894142374744,556.1935921981262,3720397
2023-07-25,554.5970458984375,561.1827977755022,551.6035389278777,555.1957838343826,3461856
2023-07-26,554.7965698242188,557.7900764959321,552.6013194176858,553.5991549749235,2857021
2023-07-27,556.5927124023438,560.5840549952657,553.7987847679094,560.5840549952657,2352993
2023-07-28,553.3995971679688,557.790098151491,548.031236789365,555.395268359924,1637277
2023-07-31,552.002685546875,557.9896993577889,546.4147694481896,549.2087579490593,1301015
2023-08-01,546.81396484375,558.7879932709855,544.2196163790722,558.7879932709855,1558246
2023-08-02,534.4407348632812,543.4212554626474,531.8463866069078,541.4255842183438,2380267
2023-08-03,539.2303466796875,542.0242739929561,525.8593261691948,531.4471807957318,2422260
2023-08-04,543.4212036132812,543.6207828992798,537.4341904516084,538.6316052645525,1481719
2023-08-07,532.4450073242188,542.0242648259047,532.4450073242188,542.0242648259047,1712615
2023-08-08,536.0372924804688,539.0287894573253,530.8485352187728,530.8485352187728,2080073
2023-08-09,538.032958984375,542.6229783087952,533.8420373516584,533.8420373516584,4969313
2023-08-10,541.425537109375,545.6164585383747,537.0350972957473,544.0199460430642,1394549
2023-08-11,536.6359252929688,543.4211945828324,535.6380897826051,540.6272673344234,1466805
2023-08-14,552.8009643554688,554.1979586627159,538.033008535248,538.033008535248,3639114
2023-08-15,563.9766235351562,565.9722944882863,552.4016954651755,554.5969456942274,3619180
2023-08-16,573.5558471679688,581.7381106475663,563.3190802963047,565.9723215447596,4199004
2023-08-17,569.5645141601562,577.1481008074333,566.1719098653373,572.1589231064805,2677663
2023-08-18,564.77490234375,566.7995023239312,554.9961264625771,564.77490234375,1739922
2023-08-21,569.9637451171875,574.3541855097394,565.772823135572,565.772823135572,2723664
2023-08-22,567.5689086914062,575.1524962153549,565.1741396599397,565.5732373803232,1983507
2023-08-23,561.7814331054688,570.761953350494,558.787926357127,568.7662821849328,5406448
2023-08-24,568.3671264648438,571.5602125264993,562.3801129378838,565.9723575958903,1856297
2023-08-25,565.9723510742188,575.7511275416294,564.7749362020143,566.5710280587958,2117096
2023-08-29,564.17626953125,574.9528817719986,557.5905180652554,573.1567898823824,5603657
2023-08-30,572.55810546875,572.55810546875,563.3780049605434,563.3780049605434,2463189
2023-08-31,576.3497924804688,578.9442014665301,570.3627791476257,572.1589318699179,3601125
2023-09-01,572.55810546875,579.1438575499461,572.3585261505822,577.5472839076605,2033332
2023-09-04,565.7727661132812,573.5558713501027,562.1805824356867,573.1567736653976,1151864
2023-09-05,546.6142578125,555.7943563091668,530.2497926604836,547.0134163613722,5323883
2023-09-06,555.79443359375,559.5861967231149,548.2109073350202,553.0005060722733,2741138
2023-09-07,557.19140625,558.189241819285,548.6099838123185,553.5991616587438,2134684
