"Time","b&m"
"2021-07-01",85
"2021-08-01",81
"2021-09-01",78
"2021-10-01",79
"2021-11-01",89
"2021-12-01",92
"2022-01-01",65
"2022-02-01",64
"2022-03-01",72
"2022-04-01",80
"2022-05-01",79
"2022-06-01",82
"2022-07-01",88
"2022-08-01",80
"2022-09-01",81
"2022-10-01",84
"2022-11-01",91
"2022-12-01",98
"2023-01-01",67
"2023-02-01",63
"2023-03-01",61
"2023-04-01",81
"2023-05-01",80
"2023-06-01",79
"2023-07-01",66
"2023-08-01",72
"2023-09-01",70
"2023-10-01",71
"2023-11-01",88
"2023-12-01",92
"2024-01-01",60
"2024-02-01",59
"2024-03-01",71
"2024-04-01",72
"2024-05-01",77
"2024-06-01",69
"2024-07-01",68
"2024-08-01",72
"2024-09-01",72
"2024-10-01",70
"2024-11-01",81
"2024-12-01",95
"2025-01-01",54
"2025-02-01",56
"2025-03-01",62
"2025-04-01",76
"2025-05-01",71
"2025-06-01",64
"2025-07-01",68
"2025-08-01",74
"2025-09-01",70
"2025-10-01",74
"2025-11-01",81
"2025-12-01",100
"2026-01-01",62
"2026-02-01",55
"2026-03-01",67
"2026-04-01",76
"2026-05-01",84
"2026-06-01",71
"2026-07-01",72
