"Time","jd sports"
"2021-07-01",63
"2021-08-01",62
"2021-09-01",56
"2021-10-01",54
"2021-11-01",83
"2021-12-01",100
"2022-01-01",44
"2022-02-01",38
"2022-03-01",39
"2022-04-01",43
"2022-05-01",48
"2022-06-01",51
"2022-07-01",52
"2022-08-01",52
"2022-09-01",46
"2022-10-01",47
"2022-11-01",68
"2022-12-01",86
"2023-01-01",39
"2023-02-01",38
"2023-03-01",38
"2023-04-01",44
"2023-05-01",44
"2023-06-01",47
"2023-07-01",45
"2023-08-01",45
"2023-09-01",41
"2023-10-01",40
"2023-11-01",59
"2023-12-01",67
"2024-01-01",33
"2024-02-01",29
"2024-03-01",32
"2024-04-01",33
"2024-05-01",37
"2024-06-01",44
"2024-07-01",41
"2024-08-01",38
"2024-09-01",32
"2024-10-01",29
"2024-11-01",42
"2024-12-01",54
"2025-01-01",26
"2025-02-01",23
"2025-03-01",25
"2025-04-01",27
"2025-05-01",27
"2025-06-01",29
"2025-07-01",30
"2025-08-01",30
"2025-09-01",27
"2025-10-01",25
"2025-11-01",41
"2025-12-01",47
"2026-01-01",22
"2026-02-01",20
"2026-03-01",26
"2026-04-01",26
"2026-05-01",31
"2026-06-01",32
"2026-07-01",29
