Price,Close,High,Low,Open,Volume
Ticker,MKS.L,MKS.L,MKS.L,MKS.L,MKS.L
2021-07-29,138.05636596679688,143.70457444333044,137.29659636720092,143.70457444333044,7777256
2021-07-30,135.4571990966797,137.40658009192663,134.786405800651,136.95672528594184,5690354
2021-08-02,137.306640625,139.00610083368733,136.3069563547167,136.70682396124147,3566723
2021-08-03,137.4065704345703,139.1560175324196,136.60682013904557,138.15633347650572,4083803
2021-08-04,138.9561004638672,139.95578463986624,137.65650798427444,139.95578463986624,3694087
2021-08-05,139.65586853027344,139.65586853027344,136.75679068350678,136.75679068350678,3869003
2021-08-06,139.90577697753906,140.18568728568133,137.15664589445285,139.70584322228999,2823281
2021-08-09,140.2556915283203,140.3056787874099,138.60620350218278,138.95609906184006,3639442
2021-08-10,141.00546264648438,141.30537096405416,138.60621135989666,139.9557911619754,5065025
2021-08-11,141.60525512695312,142.10509720682796,139.4559402850792,139.4559402850792,5803170
2021-08-12,146.25379943847656,147.65335119705773,141.15540398912924,141.55528681584536,8923418
2021-08-13,146.9535675048828,148.30314718559703,146.30377892022446,147.00355476231098,4797198
2021-08-16,147.0535430908203,147.5533851608041,145.2051280922743,145.4540423652844,4792899
2021-08-17,145.95387268066406,146.85358223258774,144.7542548601098,146.30376820306117,5050271
2021-08-18,144.90423583984375,146.80364515705756,142.45501236230376,146.1538412114429,4068438
2021-08-19,142.65492248535156,143.424683537562,140.2556866718254,141.9551466442372,4943590
2021-08-20,162.74859619140625,163.2094491584613,151.45216130714206,154.9510561228186,31382228
2021-08-23,163.8482208251953,167.79698529414725,163.8482208251953,164.9478794564929,13340663
2021-08-24,170.6460723876953,172.3955195582715,167.24715255787765,167.44708632657833,14841243
2021-08-25,179.393310546875,181.13876120007248,171.0459573780497,173.19527211365906,15779948
2021-08-26,178.84349060058594,180.8538570381339,176.6441884934996,178.7935185956281,17264444
2021-08-27,178.39361572265625,179.34331251963388,176.66216831695849,178.44360297596413,5370542
2021-08-31,179.44329833984375,181.24273279460255,177.8437976569539,178.9434562831868,7576592
2021-09-01,184.4417266845703,184.4417266845703,180.4429900626826,180.4429900626826,7337864
2021-09-02,182.7422637939453,186.6910130950959,182.7422637939453,183.84190719526973,8531370
2021-09-03,182.49234008789062,183.6919579872174,179.44330045554025,183.54201147004,11825473
2021-09-06,180.99281311035156,183.67795404189047,180.99281311035156,183.59198267188808,3936666
2021-09-07,187.0408935546875,189.83999671692544,182.49232803509852,184.94155092904083,15018761
2021-09-08,185.94125366210938,187.24084612021915,184.6616591583006,185.79130713977622,7093211
2021-09-09,184.49171447753906,184.94156929801053,181.64260852460345,184.19180617923482,10841756
2021-09-10,187.09088134765625,189.4401451863839,183.19211928973533,184.94156654079694,8635455
2021-09-13,188.34048461914062,188.4904463915228,183.34206395245462,188.0405915823149,3054460
2021-09-14,188.84033203125,189.89000345176063,186.90095757101284,188.39047720930824,5546627
2021-09-15,186.09120178222656,189.14024154559445,184.74163730773148,188.74037397995957,6970308
2021-09-16,182.1424560546875,187.08190514747983,180.69291703246864,186.8409686888318,6842460
2021-09-17,182.34237670898438,184.29177293891738,180.54295750284476,183.54200985170286,7259506
2021-09-20,181.69259643554688,182.31439400472752,177.4939260061246,177.94378082821098,6307070
2021-09-21,185.44137573242188,185.89123046642416,181.9854675290348,183.29206130665168,6806761
2021-09-22,188.19053649902344,188.290511013094,185.74131344398668,187.2408396312299,6835967
2021-09-23,188.29052734375,189.89001292981982,187.77367706086184,188.89032871828724,3831233
2021-09-24,187.09088134765625,187.44977674144616,184.54169898499921,187.09088134765625,4063111
2021-09-27,192.6891326904297,193.43889585264927,187.99061992464783,188.24054097872101,6688248
2021-09-28,189.44015502929688,192.9890369737796,186.53706517002956,192.63914140379964,8663175
2021-09-29,190.43983459472656,194.6884923219055,188.69038729529996,191.0896232043542,7569778
2021-09-30,183.44203186035156,192.35221060640774,181.49265092134866,191.53947915032515,9646131
2021-10-01,181.54263305664062,183.24209292337775,177.04405474552973,180.3929872247535,6898857
2021-10-04,183.79193115234375,186.74099624895123,179.6432329112452,181.84253491953032,5337227
2021-10-05,185.64134216308594,187.29083015016283,183.25310443527633,184.29177772344426,8727186
2021-10-06,179.44329833984375,185.72331162107832,177.15602670204217,183.34206028018033,9839685
2021-10-07,171.74575805664062,184.03087933049127,170.29621893771147,182.4923637976933,10898367
2021-10-08,174.2449493408203,177.2939890306537,172.79541038289054,176.3442768907281,6280452
2021-10-11,172.69541931152344,174.49485364892047,171.24588049255317,173.49516960080746,4523059
2021-10-12,176.6441650390625,178.09370383167752,169.6103927196007,171.69573214166823,12683107
2021-10-13,182.54232788085938,184.29177510492138,174.7947758885847,176.24431482344224,14020108
2021-10-14,183.29209899902344,184.44172969499235,178.4936119236443,184.2417959114286,4698313
2021-10-15,184.14181518554688,185.79130316577846,181.99250039023923,184.19180244324528,5267234
2021-10-18,181.69259643554688,183.65097734272388,180.29304471039603,183.54201823675382,3874147
2021-10-19,183.64195251464844,185.34141230795535,181.35867761628697,183.69193976673904,3864070
2021-10-20,181.24273681640625,183.3420643485684,180.3430119420773,183.0421713110948,4183137
2021-10-21,180.54296875,182.3983701381727,178.14371756906766,180.29304770535933,16502389
2021-10-22,177.89378356933594,182.84221684205798,176.1443363842546,181.94250724846086,7226571
2021-10-25,182.0924530029297,184.60867143215464,177.3879459665008,178.34363762196926,9651402
2021-10-26,185.84127807617188,186.99092400533917,181.19275286293143,181.74258219827493,7525648
2021-10-27,185.04153442382812,186.89094087056154,183.34205923768263,185.44140196529239,3676842
2021-10-28,184.39173889160156,185.9642401110934,182.51234305746055,183.84190955689158,4785952
2021-10-29,183.54202270507812,185.19149551087438,182.04249642563786,183.24211439839604,5474159
2021-11-01,188.54043579101562,189.74005371385542,182.06446982053927,184.74163299038173,6010065
