Price,Close,High,Low,Open,Volume
Ticker,NXT.L,NXT.L,NXT.L,NXT.L,NXT.L
2021-07-29,7896.24951171875,8045.988756568031,7868.298186013551,8038.002663509403,250494
2021-07-30,7868.2978515625,7930.190070136069,7712.56904353868,7804.409109809138,234508
2021-08-02,7958.14208984375,8133.836145013406,7918.211622759737,7958.14208984375,191659
2021-08-03,7888.26416015625,7970.395071325016,7828.368456586347,7956.145957535474,159121
2021-08-04,7968.12451171875,7982.100174856318,7848.333113396745,7926.197522306048,320287
2021-08-05,7904.23583984375,7952.152399620524,7866.301896687137,7914.218456463911,240144
2021-08-06,7960.13818359375,7982.099939304693,7810.398940110045,7850.329405039033,139493
2021-08-09,8057.9677734375,8057.9677734375,7884.270252057653,7936.179856148182,180960
2021-08-10,7930.18994140625,8065.95351542831,7886.2664321638185,8045.988283954478,223222
2021-08-11,8069.94677734375,8087.915486150305,7936.1797228949545,7936.1797228949545,127246
2021-08-12,8031.109375,8049.080529742666,7939.256806315267,7997.163860486077,157250
2021-08-13,8095.0068359375,8110.9811957518805,8027.115806726381,8083.0260660767135,108203
2021-08-16,7911.30224609375,8033.106748115891,7865.375958446059,8025.1195676554225,137818
2021-08-17,7889.33642578125,7951.237065922788,7801.477452677131,7845.40693922919,701379
2021-08-18,7875.359375,7955.231173935091,7807.468345905172,7905.3112996006585,181875
2021-08-19,7805.4716796875,7853.407922306156,7677.676799283305,7783.506934618029,179132
2021-08-20,7913.298828125,7997.164220701647,7809.465484934866,7821.446255302959,303189
2021-08-23,7927.275390625,8017.131157017475,7885.342699641845,8001.156798547701,133312
2021-08-24,7949.24072265625,7981.189441963585,7797.484305946409,7981.189441963585,472939
2021-08-25,8063.05859375,8063.05859375,7927.276527287642,7965.215634093302,114209
2021-08-26,8005.15087890625,8071.04511163359,7953.23421069683,8009.1444687685125,126866
2021-08-27,7949.24072265625,8013.13816127092,7921.285593262332,7987.17982683371,114857
2021-08-31,7897.32373046875,7979.19232034213,7871.365397094264,7971.2051408422885,312216
2021-09-01,8069.04736328125,8077.034542062028,7943.2492974839915,7989.175575473467,157442
2021-09-02,7915.294921875,8079.032102398146,7915.294921875,8037.099409825145,124038
2021-09-03,7901.31787109375,7959.2249265048495,7847.404405711003,7903.314666107926,150632
2021-09-06,7911.30224609375,7965.2157142019105,7889.337499827463,7939.257377705389,89538
2021-09-07,7931.26904296875,7967.211349809999,7863.378018935282,7909.304299899099,448558
2021-09-08,7929.27294921875,8009.144749261246,7791.494094145445,7877.356279191128,234863
2021-09-09,7865.37548828125,7865.37548828125,7761.54214850196,7833.426768349161,465712
2021-09-10,7903.314453125,8027.115740667636,7819.449064789666,7837.420219432953,230716
2021-09-13,7841.41357421875,7951.237293745623,7765.535368000183,7951.237293745623,13957
2021-09-14,7971.20556640625,7971.20556640625,7785.503633120734,7817.452352825769,198861
2021-09-15,7907.3076171875,8025.118513504182,7885.342873806424,7963.217873066604,762208
2021-09-16,7989.1767578125,7999.160732766028,7901.317778221461,7923.282523119221,292730
2021-09-17,8108.984375,8188.856173818024,7998.511790759573,8102.9939900886475,960203
2021-09-20,8009.14404296875,8019.128017093618,7899.320327595207,7995.166479193936,239659
2021-09-21,8067.05224609375,8128.952894516746,8039.09711454788,8085.023402087523,237689
2021-09-22,8242.76953125,8254.750300917514,8067.051576126453,8116.971449741097,264939
2021-09-23,8206.8271484375,8314.654074475366,8206.8271484375,8300.676509988974,203012
2021-09-24,8164.89453125,8266.731073459281,8114.974657618,8168.88812114056,203192
2021-09-27,8180.869140625,8253.609808709292,8180.869140625,8250.75696584391,365194
2021-09-28,8067.05224609375,8218.808674485612,7983.186851456141,8176.875977166808,355260
2021-09-29,8380.546875,8444.444301733382,8232.784075679057,8338.614188706219,815208
2021-09-30,8198.8388671875,8470.40294072318,8089.015160978218,8452.431788798023,718896
2021-10-01,8158.90380859375,8174.878167494569,7997.163424722949,8093.009578127868,443787
2021-10-04,8053.07421875,8232.837443257868,8037.099858782234,8148.920378556596,362399
2021-10-05,8029.1123046875,8142.330478183964,8025.118714881637,8095.0065364842385,275129
2021-10-06,7641.73388671875,7953.233883146272,7641.73388671875,7937.259524355117,717611
2021-10-07,7611.7822265625,7777.516204737916,7468.012992482621,7743.570691135723,469641
2021-10-08,7555.87255859375,7686.492986334681,7525.920632489388,7617.7732058760985,571993
2021-10-11,7609.78564453125,7625.7600043203465,7414.099737114807,7501.958715954843,454078
2021-10-12,7505.9521484375,7595.807920366122,7472.006634597799,7523.923302823225,198376
2021-10-13,7629.75390625,7711.62250351675,7450.042351274209,7501.95902271166,281979
2021-10-14,7795.4873046875,7795.4873046875,7639.737302186059,7647.724481801518,433122
2021-10-15,7855.3916015625,7903.314681999079,7801.47813607135,7803.47493108954,952337
2021-10-18,7915.294921875,7943.250050257,7788.470659284972,7855.391075342141,224439
2021-10-19,8055.0712890625,8069.048854512039,7959.225125979952,7959.225125979952,208079
2021-10-20,7969.208984375,8053.0743758417375,7928.11381155911,8047.08399073697,198528
2021-10-21,7899.32080078125,7969.208623841751,7819.44900299782,7915.295160337936,427377
2021-10-22,7823.4423828125,7889.336614214442,7761.541741192493,7873.3622550866985,323842
2021-10-25,7843.4111328125,7899.321395470022,7765.53612411095,7845.407927907411,344194
2021-10-26,7995.16650390625,8027.115221204577,7811.4613794408715,7843.410096739199,298504
2021-10-27,7935.263671875,8013.138680230089,7904.7886593718595,7993.17072936981,188710
2021-10-28,7935.263671875,8011.141885144061,7915.295721014721,7919.289311186776,118451
2021-10-29,7953.2353515625,7953.2353515625,7851.398795466671,7881.35072373015,231858
2021-11-01,8170.884765625,8188.855919801595,7851.397580263319,8031.109122029265,280786
2021-11-02,8298.6796875,8312.657251939967,8152.9136583403515,8202.833531340231,394907
2021-11-03,8023.12255859375,8132.946286996601,7911.302035129029,8132.946286996601,494482
2021-11-04,8075.0380859375,8091.01244416883,7953.233604423605,8071.044496379667,303672
2021-11-05,8108.984375,8138.936299556759,7993.170266713863,8043.090140975129,325682
2021-11-08,7975.19921875,8095.006918580997,7975.19921875,8079.032558603531,204584
2021-11-09,8003.15380859375,8093.009577402811,7871.7026968058235,7951.237142170737,620728
2021-11-10,8248.759765625,8248.759765625,7996.911082840289,7997.163607196351,398123
2021-11-11,8037.10009765625,8258.744348796583,8037.10009765625,8206.827677358307,677825
2021-11-12,8136.93896484375,8170.884477089724,8009.517519246494,8051.076786809816,220857
