"Time","next clothing"
"2021-07-01",80
"2021-08-01",79
"2021-09-01",84
"2021-10-01",87
"2021-11-01",100
"2021-12-01",94
"2022-01-01",64
"2022-02-01",74
"2022-03-01",75
"2022-04-01",75
"2022-05-01",82
"2022-06-01",78
"2022-07-01",79
"2022-08-01",79
"2022-09-01",81
"2022-10-01",74
"2022-11-01",83
"2022-12-01",91
"2023-01-01",56
"2023-02-01",62
"2023-03-01",68
"2023-04-01",73
"2023-05-01",76
"2023-06-01",69
"2023-07-01",61
"2023-08-01",58
"2023-09-01",63
"2023-10-01",64
"2023-11-01",84
"2023-12-01",73
"2024-01-01",52
"2024-02-01",47
"2024-03-01",56
"2024-04-01",56
"2024-05-01",64
"2024-06-01",58
"2024-07-01",53
"2024-08-01",55
"2024-09-01",62
"2024-10-01",59
"2024-11-01",67
"2024-12-01",67
"2025-01-01",41
"2025-02-01",46
"2025-03-01",55
"2025-04-01",59
"2025-05-01",58
"2025-06-01",55
"2025-07-01",55
"2025-08-01",57
"2025-09-01",58
"2025-10-01",61
"2025-11-01",73
"2025-12-01",76
"2026-01-01",52
"2026-02-01",53
"2026-03-01",66
"2026-04-01",69
"2026-05-01",77
"2026-06-01",73
"2026-07-01",75
